-718.9,-179.71,338.62,110
-718.62,-179.66,338.09,110
-719.07,-179.58,338.44,111
-718.16,-179.59,338.7,110
-717.99,-179.59,338.58,111
-717.98,-179.6,338.47,109
-718.44,-179.63,338.8,110
-718.32,-179.7,338.28,111
-718.8,-179.71,338.62,109
-719.12,-179.71,338.78,110
-718.7,-179.68,338.49,109
-719.62,-179.69,338.81,108
-719.76,-179.7,338.91,110
-719.76,-179.71,339.73,110
-719.32,-179.7,339.41,110
-719.55,-179.67,339.68,108
-718.96,-179.69,339.25,111
-718.99,-179.57,329.63,114
-720.62,-179.38,330.68,116
-713,-179.52,351.03,115
-714.13,-180.57,351.99,116
-713.98,-180.5,346.63,115
-716.28,-179.45,349.58,116
-714.85,-178.04,343.66,117
-718.31,-178.18,348.39,117
-723.85,-177.53,12.22,112
-717.92,-176.46,0.92,110
-736.03,-176.02,25.35,108
-739.62,-176.55,30.34,108
-739.74,-176.49,19.82,106
-734.82,-176.56,13.58,103
-735.65,-178.27,8.74,98
-729.87,-178,1.58,89
-728.4,-178.55,0.64,79
-728.44,-178.48,0.69,86
-731.94,-179.46,6.51,86
-735.39,-180.85,8.73,125
-737.22,-180.69,8.5,107
-734.63,-181.19,7.33,106
-746.68,-183.07,23.29,114
-758.55,-183.85,24.55,112
-719.27,-187.92,13.44,110
-719.9,-187.67,13.57,108
-494.39,-160.11,27.98,110
-692.24,-187.31,350.71,111
-521.92,-174.25,13.67,110
-620.57,-169.14,314.43,108
-620.4,-169.11,303.82,104
-497.52,-144.02,38.31,94
-497.41,-144,43.39,88
-497.56,-148.25,45.04,92
-497.38,-148.24,47.93,98
-496.62,-151.61,50.88,100
-495.98,-159.51,51.47,102
-495.64,-159.37,51.53,102
-495.27,-162.98,40.97,99
-495.28,-162.9,40.93,95
-494.78,-166.56,38.5,98
-494.44,-172.92,39.55,96
-494.17,-172.42,35.48,92
-494.03,-175.28,35.18,81
-494.32,-174.99,35.26,83
-494.38,-176.7,34.85,88
-494.11,-178.98,39.02,91
-493.89,-178.65,39.08,93
-493.64,-178.54,42.85,99
-493.36,-178.52,42.85,100
-493.06,-178.24,50.34,103
-492.73,-178.18,50.36,105
