-0.03,0.03,1.03,-3.53,-1.62,-0.26,0.02,-1.49,0
-0.02,0.03,1.03,-3.58,-1.66,-0.24,0.02,-1.49,0
-0.02,0.03,1.03,-3.35,-2.01,-0.57,0.02,-1.49,0
-0.03,0.03,1.02,-3.5,-2.01,-0.34,0.02,-1.49,0
-0.02,0.03,1.03,-3.55,-2.08,-0.49,0.02,-1.49,0
-0.02,0.03,1.04,-3.4,-2.11,-0.4,0.02,-1.49,0
-0.02,0.03,1.04,-3.43,-2.17,-0.44,0.02,-1.49,0
-0.02,0.03,1.02,-3.43,-1.88,-0.37,0.02,-1.49,0
-0.03,0.03,1.03,-3.4,-2,-0.54,0.02,-1.49,0
-0.02,0.03,1.02,-3.62,-1.82,-0.2,0.02,-1.49,0
-0.02,0.02,1.02,-3.47,-1.69,-0.29,0.02,-1.49,0
-0.02,0.03,1.02,-3.63,-1.54,-0.28,0.02,-1.49,0
-0.02,0.03,1.03,-3.56,-1.81,-0.17,0.02,-1.49,0
-0.03,0.03,1.02,-3.67,-1.63,-0.24,0.02,-1.49,0
-0.02,0.03,1.03,-3.53,-1.69,-0.21,0.02,-1.49,0
-0.02,0.02,1.02,-3.59,-1.96,-0.18,0.02,-1.49,0
-0.03,0.03,1.03,-3.47,-2.11,-0.39,0.02,-1.49,0
-0.02,0.03,1.03,-3.51,-2.06,-0.57,0.02,-1.49,0
-0.03,0.03,1.02,-3.49,-2.01,-0.48,0.02,-1.49,0
-0.02,0.03,1.03,-3.63,-2.08,-0.43,0.02,-1.49,0
-0.03,0.03,1.03,-3.57,-2.01,-0.43,0.02,-1.49,0
-0.02,0.03,1.03,-3.44,-2.2,-0.48,0.02,-1.49,0
-0.03,0.03,1.02,-3.43,-2.25,-0.32,0.02,-1.49,0
-0.02,0.03,1.02,-3.5,-2.01,-0.42,0.02,-1.49,0
-0.02,0.03,1.02,-3.5,-1.88,-0.14,0.02,-1.49,0
-0.02,0.04,1.03,-3.56,-1.8,-0.15,0.02,-1.49,0
-0.02,0.03,1.02,-3.5,-1.99,-0.12,0.02,-1.49,0
-0.02,0.03,1.03,-3.59,-1.71,-0.07,0.02,-1.49,0
-0.02,0.03,1.03,-3.58,-1.79,-0.03,0.02,-1.49,0
-0.02,0.03,1.03,-3.6,-1.72,-0.19,0.02,-1.49,0
-0.02,0.02,1.02,-3.43,-1.91,-0.18,0.02,-1.49,0
-0.03,0.03,1.02,-3.33,-2.18,-0.37,0.02,-1.49,0
-0.02,0.03,1.03,-3.53,-1.98,-0.51,0.02,-1.49,0
-0.03,0.03,1.02,-3.53,-2.06,-0.57,0.02,-1.49,0
-0.03,0.03,1.02,-3.51,-1.95,-0.4,0.02,-1.49,0
-0.02,0.03,1.02,-3.44,-2.02,-0.34,0.02,-1.49,0
-0.03,0.03,1.02,-3.56,-2.11,-0.55,0.02,-1.49,0
-0.03,0.04,1.03,-3.38,-2.25,-0.46,0.02,-1.49,0
-0.02,0.03,1.02,-3.51,-1.68,-0.11,0.02,-1.49,0
-0.01,0.04,1.02,-3.68,-1.84,-0.18,0.02,-1.49,0
-0.02,0.03,1.02,-3.33,-1.79,-0.17,0.02,-1.49,0
-0.02,0.03,1.03,-3.51,-1.81,-0.14,0.02,-1.49,0
-0.01,0.03,1.04,-3.37,-1.8,-0.11,0.02,-1.49,0
-0.01,0.04,1.03,-3.34,-2.01,-0.18,0.02,-1.49,0
-0.02,0.03,1.03,-3.54,-1.7,-0.08,0.02,-1.49,0
-0.02,0.03,1.03,-3.51,-1.9,-0.21,0.02,-1.49,0
-0.03,0.04,1.02,-3.51,-2.1,-0.37,0.02,-1.49,0
-0.02,0.04,1.02,-3.43,-2.03,-0.52,0.02,-1.49,0
-0.03,0.03,1.03,-3.46,-2.11,-0.47,0.02,-1.49,0
-0.03,0.04,1.03,-3.44,-1.99,-0.43,0.02,-1.49,0
-0.03,0.03,1.03,-3.59,-1.83,-0.5,0.02,-1.49,0
-0.04,0.04,1.02,-3.6,-1.93,-0.47,0.02,-1.49,0
-0.02,0.03,1.03,-3.28,-2.2,-0.43,0.02,-1.49,0
-0.02,0.03,1.03,-3.78,-1.6,-0.23,0.02,-1.49,0
-0.01,0.03,1.03,-3.62,-1.77,-0.08,0.02,-1.49,0
